IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_NAME_BOARD,MOBITEL_NAME_BOARD,HUTCH_NAME_BOARD,AIRTEL_NAME_BOARD,TOTAL_NAME_BOARD_COUNT,DIALOG_SIDE_BOARD,MOBITEL_SIDE_BOARD,HUTCH_SIDE_BOARD,AIRTEL_SIDE_BOARD,TOTAL_SIDE_BOARD_COUNT,DIALOG_TIN_BOARD,MOBITEL_TIN_BOARD,HUTCH_TIN_BOARD,AIRTEL_TIN_BOARD,TOTAL_TIN_BOARD_COUNT,NAME_BOARD_INF_S3_ARN,TIN_BOARD_INF_S3_ARN,SIDE_BOARD_INF_S3_ARN,PROFILE_NAME,SALES_AREA,CAPTURE_PHASE
34841,65960,51589,2025-05-03 06:35:07.606,2025-04-29 11:01:31.267,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/51589/1/ORIGINAL/image_34841.jpeg,9.7429908,79.881852,Northern,Jaffna,Karainagar,Karainagar East,Jaffna,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/51589/1/INFERENCE/NAME_BOARD/image_34841.jpeg,,,Shambanthan Stores,Jaffna Inner,4
33879,53327,41824,2025-05-03 06:35:07.606,2025-04-26 13:55:00.934,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/41824/1/ORIGINAL/image_33879.jpeg,7.2622938,81.0810087,Uva,Badulla,Rideemaliyadda,Andaulpotha,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/41824/1/INFERENCE/NAME_BOARD/image_33879.jpeg,,,CHAMI COMMUNICATION,Badulla 3,4
34213,241130,313779,2025-05-03 06:35:07.606,2025-04-28 11:29:14.847,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/313779/1/ORIGINAL/image_34213.jpeg,7.4282029,80.9918746,Uva,Badulla,Mahiyanganaya,Bathalayaya,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/313779/1/INFERENCE/NAME_BOARD/image_34213.jpeg,,,Nilantha Stores,Badulla 3,4
31647,70244,4067,2025-05-03 06:35:07.606,2025-04-25 12:51:07.201,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/4067/1/ORIGINAL/image_31647.jpeg,9.3138527,80.6966516,Northern,Mullaitivu,Puthukkudiyiruppu,Puthukkudiyiruppu East,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/4067/1/INFERENCE/NAME_BOARD/image_31647.jpeg,,,Anparaasy Pharmacy,Mullaitivu,4
35256,1470032,1168326,2025-05-03 06:35:07.606,2025-04-29 14:00:07.221,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1168326/1/ORIGINAL/image_35256.jpeg,9.6785714,80.1477656,Northern,Jaffna,Chavakachcheri,Kalvayal,Jaffna,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1168326/1/INFERENCE/NAME_BOARD/image_35256.jpeg,,,THENU MULTY CENTER,Jaffna Outer,4
34224,52983,40416,2025-05-03 06:35:07.606,2025-04-28 11:39:57.584,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/40416/1/ORIGINAL/image_34224.jpeg,6.9884978,81.0581743,Uva,Badulla,Badulla,Badulupitiya,Badulla,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/40416/1/INFERENCE/NAME_BOARD/image_34224.jpeg,,,prabba agencies,Badulla 1,4
32687,68304,19623,2025-05-03 06:35:07.606,2025-04-26 09:55:09.711,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/19623/1/ORIGINAL/image_32687.jpeg,9.1295693,80.4466226,Northern,Mullaitivu,Oddusuddan,Mankulam,Mullaitivu,Northern,0,1,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/19623/1/INFERENCE/NAME_BOARD/image_32687.jpeg,,,Mavadipillayar,Mullaitivu,4
36477,208073,158052,2025-05-03 06:35:07.606,2025-05-02 15:43:32.814,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/158052/1/ORIGINAL/image_36477.jpeg,9.384103,80.4083154,Northern,Kilinochchi,Karachchi,Kilinochchi Town,Killinochchi,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/158052/1/INFERENCE/NAME_BOARD/image_36477.jpeg,,,Jathusan DTH,Killinochchi,4
34411,56088,16987,2025-05-03 06:35:07.606,2025-04-28 13:19:30.281,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/16987/1/ORIGINAL/image_34411.jpeg,7.472144,81.0176775,Uva,Badulla,Mahiyanganaya,Girandurukotte,Badulla,Uva Sabaragamuwa,1,0,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/16987/1/INFERENCE/NAME_BOARD/image_34411.jpeg,,,WASANA STORES,Badulla 3,4
35943,103824,93396,2025-05-03 06:35:07.606,2025-04-30 14:39:16.367,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/93396/1/ORIGINAL/image_35943.jpeg,6.7802537,80.36193,Sabaragamuwa,Rathnapura,Kuruwita,Delgamuwa,Rathnapura,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/93396/1/INFERENCE/NAME_BOARD/image_35943.jpeg,,,A N R TRADE CENTER ,Rathnapura 1,4
