IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_COUNT,MOBITEL_COUNT,HUTCH_COUNT,AIRTEL_COUNT,DIALOG_AREA_PERCENTAGE,AIRTEL_AREA_PERCENTAGE,MOBITEL_AREA_PERCENTAGE,HUTCH_AREA_PERCENTAGE,INF_S3_ARN,PROFILE_NAME,SHAPEISO,SHAPEID,CAPTURE_PHASE,SALES_AREA
32018,199019,150406,2025-04-26 06:39:54.380,2025-04-25 14:14:56.007,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/150406/2/ORIGINAL/image_32018.jpeg,6.8470842,81.3497385,Uva,Moneragala,Moneragala,Hulandawa Left,Monaragala,Uva Sabaragamuwa,3,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/150406/2/INFERENCE/PRESENSE/image_32018.jpeg,9 Kade,LK-82,,4,Monaragala 1
28195,319436,378866,2025-04-26 06:39:54.380,2025-04-24 10:37:39.537,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/378866/2/ORIGINAL/image_28195.jpeg,6.9360048,81.0373329,Uva,Badulla,Hali Ela,Mugunumatha East,Badulla,Uva Sabaragamuwa,5,5,0,0,72.97953933735082899,0.00000000000000000,27.02046066264916391,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/378866/2/INFERENCE/PRESENSE/image_28195.jpeg,SHAN FANCY,LK-81,,4,Badulla 1
32169,66781,17657,2025-04-26 06:39:54.380,2025-04-25 15:13:41.488,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/17657/2/ORIGINAL/image_32169.jpeg,8.7187301,80.2549576,Northern,Vavuniya,Vengalacheddiculam,Andiyapuliyankulam,Vavuniya,Northern,0,0,0,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/17657/2/INFERENCE/PRESENSE/image_32169.jpeg,THILLAI GNANAM MULTY SHOP,LK-44,,4,Vavuniya
29130,51835,56615,2025-04-26 06:39:54.380,2025-04-24 12:21:37.446,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/56615/2/ORIGINAL/image_29130.jpeg,6.8678296,81.3471501,Uva,Moneragala,Moneragala,Viharamulla,Monaragala,Uva Sabaragamuwa,14,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/56615/2/INFERENCE/PRESENSE/image_29130.jpeg,Kavidu Vedio,LK-82,,4,Monaragala 1
30579,213266,162339,2025-04-26 06:39:54.380,2025-04-25 10:25:01.581,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/162339/2/ORIGINAL/image_30579.jpeg,9.7762834,79.9813386,Northern,Jaffna,Sandilipay,Pandatheruppu,Jaffna,Northern,0,0,1,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,100.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/162339/2/INFERENCE/PRESENSE/image_30579.jpeg,Baamini Store,LK-41,,4,Jaffna Inner
32189,727374,588866,2025-04-26 06:39:54.380,2025-04-25 15:19:19.446,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/588866/2/ORIGINAL/image_32189.jpeg,6.8720759,81.3518339,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,13,1,0,4,85.69707334136576549,13.27629189963520950,1.02663475899901724,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/588866/2/INFERENCE/PRESENSE/image_32189.jpeg,Samanala Mobile,LK-82,,4,Monaragala 1
29128,66565,51568,2025-04-26 06:39:54.380,2025-04-24 12:21:09.118,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/51568/2/ORIGINAL/image_29128.jpeg,9.8123064,80.0120943,Northern,Jaffna,Tellipallai,Naguleswaram,Jaffna,Northern,3,0,0,1,75.02106657036235049,24.97893342963765306,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/51568/2/INFERENCE/PRESENSE/image_29128.jpeg,Saalini store,LK-41,,4,Jaffna Inner
32226,72077,49304,2025-04-26 06:39:54.380,2025-04-25 15:35:37.000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/49304/2/ORIGINAL/image_32226.jpeg,6.8723905,81.3520504,Uva,Moneragala,Moneragala,Moneragala,Monaragala,Uva Sabaragamuwa,2,1,0,0,76.07813834329633096,0.00000000000000000,23.92186165670367259,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/49304/2/INFERENCE/PRESENSE/image_32226.jpeg,Lanka photo com,LK-82,,4,Monaragala 1
30887,984652,769666,2025-04-26 06:39:54.380,2025-04-25 10:55:41.581,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/769666/2/ORIGINAL/image_30887.jpeg,9.7300238,79.9760951,Northern,Jaffna,Sandilipay,Manipay West,Jaffna,Northern,1,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/769666/2/INFERENCE/PRESENSE/image_30887.jpeg,Manchu store,LK-41,,4,Jaffna Inner
30265,69016,35269,2025-04-26 06:39:54.380,2025-04-25 09:54:40.604,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/35269/2/ORIGINAL/image_30265.jpeg,9.7145077,80.0181657,Northern,Jaffna,Uduvil,Inuvil South West,Jaffna,Northern,0,0,0,1,0.00000000000000000,100.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/35269/2/INFERENCE/PRESENSE/image_30265.jpeg,Siva Stores Thavady,LK-41,,4,Jaffna Inner
